"Rule","Estimator","Bias","Var.","C.I. Width","Ind. Cov. (%)","Simult. Cov. (%)"
"1","Min. adj. IPW (w/ $g_0$)",0.00280864657217485,0.00232727974377569,0.187957819169755,93.6,92.7
"1","Min. adj. IPW (w/ $g_n$)",0.00150007308549516,0.000799024133894032,0.189199590470369,99.8,100
"1","Full adj. IPTW",0.00283507741770057,0.000733694453430821,0.196157061384007,100,100
"1","Full adj. G-comp.",0.0146513714867285,NA,NA,NA,NA
"1","Full adj. TMLE",0.00178477090617628,0.000491617574872961,0.0872111928679639,94.9,92.6
"2","Min. adj. IPW (w/ $g_0$)",0.00169337943275188,0.00232223433319116,0.190264229365455,94.7,92.7
"2","Min. adj. IPW (w/ $g_n$)",0.00228225109375024,0.000728450834514637,0.191033910025703,100,100
"2","Full adj. IPTW",0.00297497510328865,0.00072971416140177,0.198260292182695,100,100
"2","Full adj. G-comp.",0.0011405879595525,NA,NA,NA,NA
"2","Full adj. TMLE",0.00174400889161928,0.00047776269331913,0.0861300277780103,95,92.6
"3","Min. adj. IPW (w/ $g_0$)",0.00171347635941559,0.00225300741803262,0.189799430545079,95.6,92.7
"3","Min. adj. IPW (w/ $g_n$)",0.000105867667253728,0.00075249502959545,0.191225277495585,99.8,100
"3","Full adj. IPTW",0.00147456979244237,0.000689464780725501,0.19894015084028,99.9,100
"3","Full adj. G-comp.",0.00912437976155043,NA,NA,NA,NA
"3","Full adj. TMLE",0.000962212517233358,0.000502325173898255,0.0865120266906388,95.3,92.6
"4","Min. adj. IPW (w/ $g_0$)",0.00058859397175673,0.00259158871851135,0.192047373729435,94.2,92.7
"4","Min. adj. IPW (w/ $g_n$)",0.000878430428192434,0.000789102680943942,0.19300240772717,99.8,100
"4","Full adj. IPTW",0.00160485222802773,0.000758821197587874,0.200976949701625,99.9,100
"4","Full adj. G-comp.",0.00658471876336321,NA,NA,NA,NA
"4","Full adj. TMLE",0.000841707559036473,0.000507054995563933,0.0852286220441222,94.1,92.6
"5","Min. adj. IPW (w/ $g_0$)",0.000763840425604711,0.00242304398545797,0.18867340747463,94.1,92.7
"5","Min. adj. IPW (w/ $g_n$)",0.000405863197168785,0.000833688347955566,0.189596945003759,99.8,100
"5","Full adj. IPTW",0.00131795843611121,0.000760324517907371,0.197255926234713,100,100
"5","Full adj. G-comp.",0.0138773605356117,NA,NA,NA,NA
"5","Full adj. TMLE",0.000646737712666175,0.00050580923853092,0.0868406745498359,94.5,92.6
"6","Min. adj. IPW (w/ $g_0$)",0.000351179077886768,0.0025760401232877,0.190954731767179,94.2,92.7
"6","Min. adj. IPW (w/ $g_n$)",0.00118828884135472,0.000794023045461941,0.191404223300974,100,100
"6","Full adj. IPTW",0.00145810375584806,0.000793191061770097,0.199325890646451,100,100
"6","Full adj. G-comp.",0.00201206401462372,NA,NA,NA,NA
"6","Full adj. TMLE",0.0005942279281795,0.000498066080131468,0.0856917462229547,94.6,92.6
"7","Min. adj. IPW (w/ $g_0$)",0.00123568676082459,0.00149345207777753,0.146893606415316,94.7,92.7
"7","Min. adj. IPW (w/ $g_n$)",0.000702861708445995,0.000461684564011295,0.147556838911066,100,100
"7","Full adj. IPTW",0.000275291409375388,0.000484168337778795,0.153624497417727,99.9,100
"7","Full adj. G-comp.",0.00562233280849369,NA,NA,NA,NA
"7","Full adj. TMLE",0.000321425493271857,0.000338608928062225,0.0719399139262826,93.5,92.6
"8","Min. adj. IPW (w/ $g_0$)",0.000488821512744975,0.00142630102752829,0.148814750512202,94.8,92.7
"8","Min. adj. IPW (w/ $g_n$)",0.0001300263238755,0.000486930321344252,0.149440360282854,99.9,100
"8","Full adj. IPTW",0.000783086224794599,0.000490525456010228,0.156660913111263,99.9,100
"8","Full adj. G-comp.",0.0111795396608973,NA,NA,NA,NA
"8","Full adj. TMLE",0.000511331106869553,0.000349504282504842,0.0705630718633127,94.4,92.6
"9","Min. adj. IPW (w/ $g_0$)",0.000176498226587112,0.00146095197355429,0.147311535158007,95.1,92.7
"9","Min. adj. IPW (w/ $g_n$)",0.000406934177461639,0.000481155052434865,0.148344895759116,99.7,100
"9","Full adj. IPTW",5.11646275567581e-05,0.000482516881074895,0.155398006619993,100,100
"9","Full adj. G-comp.",0.00725351279121147,NA,NA,NA,NA
"9","Full adj. TMLE",0.000265066880157451,0.000349711797148544,0.0713354986755421,94.6,92.6
"10","Min. adj. IPW (w/ $g_0$)",0.00090810933704162,0.0022854782756619,0.188503051847888,95.5,92.7
"10","Min. adj. IPW (w/ $g_n$)",0.00126881969855108,0.000820032246966238,0.189520800987693,99.8,100
"10","Full adj. IPTW",0.000144121805971027,0.000752424290612129,0.197058457803179,100,100
"10","Full adj. G-comp.",0.0130740429278351,NA,NA,NA,NA
"10","Full adj. TMLE",0.00105092283271055,0.000511449523477759,0.0871203801478657,93.7,92.6
"11","Min. adj. IPW (w/ $g_0$)",0.000295905437218278,0.00234116990084468,0.190606005786924,94.7,92.7
"11","Min. adj. IPW (w/ $g_n$)",0.00103791750620559,0.000751355494810852,0.191724829059538,99.8,100
"11","Full adj. IPTW",0.000443141966003926,0.000704748014529709,0.199450920463713,100,100
"11","Full adj. G-comp.",0.00292968215473168,NA,NA,NA,NA
"11","Full adj. TMLE",0.000571801539550766,0.000477081352713033,0.0859631715101566,94.3,92.6
"12","Min. adj. IPW (w/ $g_0$)",0.000249492316864562,0.00241600397426846,0.189908484039992,94.9,92.7
"12","Min. adj. IPW (w/ $g_n$)",0.000244795997655069,0.000795541349092812,0.190856382499753,100,100
"12","Full adj. IPTW",0.00203515116584243,0.000735863481308691,0.198345169692983,100,100
"12","Full adj. G-comp.",0.00740189954215838,NA,NA,NA,NA
"12","Full adj. TMLE",0.000173941131937049,0.000517907557797821,0.0865625477049682,94.6,92.6
"13","Min. adj. IPW (w/ $g_0$)",0.000867083924482379,0.00255671890578805,0.191982955592384,93.9,92.7
"13","Min. adj. IPW (w/ $g_n$)",0.000481085896848798,0.000758447724132424,0.193038316602497,99.8,100
"13","Full adj. IPTW",0.00174151871870876,0.000700353218223593,0.200686942489023,100,100
"13","Full adj. G-comp.",0.00837623401193931,NA,NA,NA,NA
"13","Full adj. TMLE",0.000270380351953358,0.00049208857746021,0.0852541409581954,94.3,92.6
"14","Min. adj. IPW (w/ $g_0$)",0.000509858155954776,0.00233603887071599,0.18877071193824,95.1,92.7
"14","Min. adj. IPW (w/ $g_n$)",6.68205225424527e-05,0.000827194206217314,0.189516780132063,99.9,100
"14","Full adj. IPTW",0.00118017938680223,0.000778103441646779,0.1969675810306,100,100
"14","Full adj. G-comp.",0.0121873131907652,NA,NA,NA,NA
"14","Full adj. TMLE",0.00099498757783409,0.000521837925801378,0.0869203576770806,94.1,92.6
"15","Min. adj. IPW (w/ $g_0$)",6.08723405606386e-05,0.00230024924576972,0.190875269500485,94.3,92.7
"15","Min. adj. IPW (w/ $g_n$)",0.000122608265548575,0.000748091434068093,0.191714325242872,99.9,100
"15","Full adj. IPTW",0.000839685823213439,0.000669797373871512,0.199346043724427,99.9,100
"15","Full adj. G-comp.",0.00363296422122586,NA,NA,NA,NA
"15","Full adj. TMLE",0.000517218551308042,0.000484279792152387,0.0857324168302807,94.9,92.6
