"Rule","Estimator","Bias","Var.","C.I. Width","Ind. Cov. (%)","Simult. Cov. (%)"
"1","Min. adj. IPW (w/ $g_0$)",0.000878820659604396,0.00119631831821952,0.136556983458249,94.8,94.5
"1","Min. adj. IPW (w/ $g_n$)",0.000206138969789469,0.000508623016365945,0.136951118232599,99.9,100
"1","Full adj. IPTW",3.30621785413859e-05,0.000480149243543612,0.137289679869468,99.8,100
"1","Full adj. G-comp.",0.00173827710901977,NA,NA,NA,NA
"1","Full adj. TMLE",0.000253347065984248,0.00044393066094219,0.0872350638269153,97.1,95.1
"2","Min. adj. IPW (w/ $g_0$)",0.000512567304987634,0.00127738005206024,0.139844267160671,95.4,94.5
"2","Min. adj. IPW (w/ $g_n$)",0.000820522591066992,0.000543109169936962,0.140384456309271,100,100
"2","Full adj. IPTW",0.00109732750727514,0.00052689046263367,0.140732831029633,100,100
"2","Full adj. G-comp.",0.00232244657299625,NA,NA,NA,NA
"2","Full adj. TMLE",0.000798878269398058,0.000485852973447138,0.0860077839905934,94,95.1
"3","Min. adj. IPW (w/ $g_0$)",0.000408192148224558,0.00121923741963323,0.136597053232541,95.3,94.5
"3","Min. adj. IPW (w/ $g_n$)",0.000256877976676579,0.000531435979440933,0.136872380795898,99.8,100
"3","Full adj. IPTW",0.000337154641372335,0.000514940041073077,0.137139353688679,100,100
"3","Full adj. G-comp.",0.00287331843936069,NA,NA,NA,NA
"3","Full adj. TMLE",0.00016517249749451,0.000480609756718219,0.0872537552484367,95.3,95.1
"4","Min. adj. IPW (w/ $g_0$)",9.87687943483457e-05,0.00122854823369419,0.139886739720236,96.1,94.5
"4","Min. adj. IPW (w/ $g_n$)",0.00071295358497478,0.00050796436728085,0.140309292321169,99.8,100
"4","Full adj. IPTW",0.000670280687728928,0.000502449795182914,0.140590928130167,99.8,100
"4","Full adj. G-comp.",0.00115254812154151,NA,NA,NA,NA
"4","Full adj. TMLE",0.000830252050669092,0.00046906545387883,0.0860317169689943,96,95.1
"5","Min. adj. IPW (w/ $g_0$)",0.000174447604319971,0.00164847280808365,0.156810869894666,94.4,94.5
"5","Min. adj. IPW (w/ $g_n$)",0.000281201073627375,0.000290496725150617,0.15713494145394,100,100
"5","Full adj. IPTW",0.000303616932887681,0.000284301578784422,0.157446846879251,100,100
"5","Full adj. G-comp.",0.00390533570121828,NA,NA,NA,NA
"5","Full adj. TMLE",0.000505086593691893,0.000265580503986487,0.0631622275869586,94,95.1
"6","Min. adj. IPW (w/ $g_0$)",0.000402959740626009,0.00176426106202125,0.157757773480803,93.5,94.5
"6","Min. adj. IPW (w/ $g_n$)",0.000183617943960635,0.00026487283294075,0.157964154640978,100,100
"6","Full adj. IPTW",0.000119537550941823,0.000261802265438021,0.158278196688999,100,100
"6","Full adj. G-comp.",0.00646469268876871,NA,NA,NA,NA
"6","Full adj. TMLE",0.000122865716807633,0.000246690860653988,0.0604308428019935,94.2,95.1
"7","Min. adj. IPW (w/ $g_0$)",0.00198413305910162,0.00160748411836264,0.156157750245172,95.1,94.5
"7","Min. adj. IPW (w/ $g_n$)",0.000533418882243839,0.000296466804000887,0.156184346267063,100,100
"7","Full adj. IPTW",0.000291097536400612,0.000291893138988062,0.156434357280208,100,100
"7","Full adj. G-comp.",0.00662035583776328,NA,NA,NA,NA
"7","Full adj. TMLE",0.000126375493734121,0.000277928933780296,0.0652425440159844,94.2,95.1
"8","Min. adj. IPW (w/ $g_0$)",0.00227232527465178,0.00150016065788024,0.157126199074954,94.5,94.5
"8","Min. adj. IPW (w/ $g_n$)",0.000128279932085321,0.000266029613479327,0.157032266485345,100,100
"8","Full adj. IPTW",7.23768833255566e-05,0.00026580186631955,0.157286776068979,100,100
"8","Full adj. G-comp.",0.00410133172351466,NA,NA,NA,NA
"8","Full adj. TMLE",0.000188201547567725,0.000254406531740715,0.0626671512433977,94.8,95.1
